data_venda,vendedor,setor,categoria,neoenergia,adimplencia_m2,status,id_venda
2026-08-12,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00001
2026-08-15,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00002
2026-08-19,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00003
2026-08-22,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00004
2026-08-26,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00005
2026-08-29,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00006
2026-08-03,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00007
2026-08-06,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00008
2026-08-10,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00009
2026-08-14,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00010
2026-08-18,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00011
2026-08-21,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00012
2026-08-25,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00013
2026-08-28,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00014
2026-08-01,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00015
2026-08-05,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00016
2026-08-08,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00017
2026-08-12,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00018
2026-08-17,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00019
2026-08-20,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00020
2026-08-24,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00021
2026-08-27,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00022
2026-08-31,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00023
2026-08-04,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00024
2026-08-07,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00025
2026-08-11,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00026
2026-08-14,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00027
2026-08-19,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00028
2026-08-22,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00029
2026-08-26,Ana Silva,CLIN,Vendedor,Sim,100%,Aprovada,VEN-00030
2026-08-29,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00031
2026-08-03,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00032
2026-08-06,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00033
2026-08-10,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00034
2026-08-13,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00035
2026-08-17,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00036
2026-08-21,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00037
2026-08-25,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00038
2026-08-28,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00039
2026-08-01,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00040
2026-08-05,Ana Silva,CLIN,Vendedor,Não,100%,Aprovada,VEN-00041
